created_at,source,original_text,polarity,subjectivity,lang,favourite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
2022-08-03 20:19:13+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Pelosi airplane landed safely in #Taiwan 🇹🇼  
1) - Both 🇨🇳 &amp;  🇺🇸 are playing ""win win"" on financial markets. 2) - Taiwan may be the future Asian   Cuba  3) - 🇺🇸 &amp; 🇨🇳 need an Asian #NATO / #5G
What's your thoughts?",0.3,0.2035714285714285,en,0,0,DzCritical,318,373,,"[{'text': 'Pelosi', 'indices': [0, 7]}, {'text': 'Taiwan', 'indices': [34, 41]}, {'text': 'NATO', 'indices': [189, 194]}, {'text': '5G', 'indices': [197, 200]}]",[],Algérie
2022-08-02 15:24:42+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Watch the video of the beginning of the Chinese bombing of Taiwan during Pelosi visit from here : https://t.co/twah6WU4fZ
ــــــــــــــــــــــــــ
#Pelosi #マツコの知らない世界 #Yediiklim #BadDecisionsTrailer1 #LawnBowls #祝_CALL119_MV900万回 #มากอดกันนะซีพฤกษ์ https://t.co/m4CXfyZRS7",0.0,0.0,en,0,0,toopsat,764,144,False,"[{'text': 'Pelosi', 'indices': [149, 156]}, {'text': 'マツコの知らない世界', 'indices': [157, 168]}, {'text': 'Yediiklim', 'indices': [169, 179]}, {'text': 'BadDecisionsTrailer1', 'indices': [180, 201]}, {'text': 'LawnBowls', 'indices': [202, 212]}, {'text': '祝_CALL119_MV900万回', 'indices': [213, 231]}, {'text': 'มากอดกันนะซีพฤกษ์', 'indices': [232, 250]}]",[],
2022-08-02 15:02:35+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Pelosi 
#Taipei 
#taiwan
#XiJinping 
#China 
On a verge of another war https://t.co/DuqDiSnWcd",0.0,0.0,en,0,0,NassimaLilEmy,64,47,False,"[{'text': 'Pelosi', 'indices': [0, 7]}, {'text': 'Taipei', 'indices': [9, 16]}, {'text': 'taiwan', 'indices': [18, 25]}, {'text': 'XiJinping', 'indices': [26, 36]}, {'text': 'China', 'indices': [38, 44]}]",[],Algérie
2022-08-01 13:51:42+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#HOBIPALOOZA #LaAcademiaExpulsion #WEURO2022 #jhopeAtLollapalooza #SuzukiPakistan #Fantastico #Taiwan #breastfeeding #Kosovo #BORNPINK  strong ✍️💜 https://t.co/GtZeNL24rm,0.4333333333333333,0.7333333333333333,en,0,0,d_dhayae,60,463,False,"[{'text': 'HOBIPALOOZA', 'indices': [0, 12]}, {'text': 'LaAcademiaExpulsion', 'indices': [13, 33]}, {'text': 'WEURO2022', 'indices': [34, 44]}, {'text': 'jhopeAtLollapalooza', 'indices': [45, 65]}, {'text': 'SuzukiPakistan', 'indices': [66, 81]}, {'text': 'Fantastico', 'indices': [82, 93]}, {'text': 'Taiwan', 'indices': [94, 101]}, {'text': 'breastfeeding', 'indices': [102, 116]}, {'text': 'Kosovo', 'indices': [117, 124]}, {'text': 'BORNPINK', 'indices': [125, 134]}]",[],Chlef                         
2022-07-31 20:02:20+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Pelosi
#china
China Time ✌️ https://t.co/tEDjzTlszu",0.0,0.0,en,0,0,Mohamme65404115,39,206,False,"[{'text': 'Pelosi', 'indices': [0, 7]}, {'text': 'china', 'indices': [8, 14]}]",[],Algérie
2022-07-31 13:22:22+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","V382 Intro Logo Animation Blue Smoke 💙

If you are looking for a professional logo animation or introduction / outro for your business then your in the right place will animate your logo professionally with super fast turning on time.

https://t.co/CGH6TCZ2DL

#YK #Taiwan https://t.co/406MoDCb4u",0.1698412698412698,0.3503968253968254,en,0,0,Yacine_Kelala8,350,1,False,"[{'text': 'YK', 'indices': [261, 264]}, {'text': 'Taiwan', 'indices': [265, 272]}]",[],États-Unis
2022-08-07 05:55:54+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TWINNING FOR ""AFRO IN SPACE""🛰️
""SENORITA"" COUNTDOWN 💃❤️🕺
12 DAYS TO GO 🚀💗
Pre-Save here👇
https://t.co/p4wmtyOZGp
#fashion #Twins #models #RETWEEET #PRESALE #sellingcontent #Sales #Taiwan #andAUDITION #BB24 #BBNajia #OhmNanon1stFM #music #INDvsWI #art https://t.co/p1MDqaftsm",0.0,0.0,en,0,0,drax_africa,559,1280,False,"[{'text': 'fashion', 'indices': [113, 121]}, {'text': 'Twins', 'indices': [122, 128]}, {'text': 'models', 'indices': [129, 136]}, {'text': 'RETWEEET', 'indices': [137, 146]}, {'text': 'PRESALE', 'indices': [147, 155]}, {'text': 'sellingcontent', 'indices': [156, 171]}, {'text': 'Sales', 'indices': [172, 178]}, {'text': 'Taiwan', 'indices': [179, 186]}, {'text': 'andAUDITION', 'indices': [187, 199]}, {'text': 'BB24', 'indices': [200, 205]}, {'text': 'BBNajia', 'indices': [206, 214]}, {'text': 'OhmNanon1stFM', 'indices': [215, 229]}, {'text': 'music', 'indices': [230, 236]}, {'text': 'INDvsWI', 'indices': [237, 245]}, {'text': 'art', 'indices': [246, 250]}]",[],Zambia
2022-08-04 01:42:24+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","When you're missing her but she's far.
#Taiwan
#CoupleGoals https://t.co/SjxicXQG2L",-0.05,0.525,en,0,0,MukukaReal,119,179,False,"[{'text': 'Taiwan', 'indices': [39, 46]}, {'text': 'CoupleGoals', 'indices': [47, 59]}]",[],Ndola
2022-08-03 17:05:47+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","🤔

#China's Mortgage Crisis, Banks are Failing, Protests Everywhere. China's... https://t.co/cVpMoxMuos 

#ChinaTaiwanCrisis",0.0,0.0,en,0,0,derPaddy,678,183,False,"[{'text': 'China', 'indices': [3, 9]}, {'text': 'ChinaTaiwanCrisis', 'indices': [106, 124]}]",[],:D
2022-08-02 14:45:47+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter will make laugh and scared on the #Pelosi Taiwan visit,0.3,0.1,en,0,0,deusthengo,6413,6769,,"[{'text': 'Pelosi', 'indices': [42, 49]}]",[],Lilongwe
